PomBaseID	Gene_name	Product_description	UniprotID
SPBC13E7.03c	vts1	Smaug family RNA-binding protein Vts1	Q9P6R7
SPAC4D7.15	gem6	SMN complex subunit Gem6	G2TRK8
SPBC32F12.16	gem7	SMN complex subunit Gem7	G2TRR1
SPBC30D10.15	naf1	snoRNP assembly factor Naf1	O14360
SPBC13E7.01	cwf22	splicing factor Cwf22	Q9P6R9
SPBC23E6.01c	cxr1	splicing factor Cxr1	O60176
SPBC365.05c	slu7	splicing factor Slu7	Q9Y7Y2
SPAC22E12.02		"splicing factor, WW domain -binding Rbm42"	Q10355
SPAC29A4.06c		"splicing protein, human NSRP1 ortholog"	O14009
SPBC11C11.08	srp1	"SR family protein, human SRFS2 ortholog Srp1"	Q10193
