Systematic ID	Gene name	UniProt ID	Physical interactors
SPAC22F3.09c	res2	P41412	"yox1,ctf1,res1,gad8,epe1,clp1,cdc10,cig2,pef1,rep2,mst1,res2,nrm1"
SPAC6F12.02	rst2	P78871	fft3
SPBP4H10.09	rsv1	Q9P7D9	"ntu1,pat1,lkh1"
SPBC1105.14	rsv2	Q9Y815	
SPAC3G9.14	sak1	P48383	"SPBC15D4.08c,cbf11,sak1"
SPBC1D7.02c	scr1	O14335	"dsk1,fft3"
SPBC4C3.12	sep1	O43058	"fkh2,mid1,clp1,fft3"
SPAC16.05c	sfp1	Q9UTH8	
SPBC19C2.09	sre1	Q9UUD1	"dis3,sre1,emc4,gmh6,ofd1,hhp2,ubc6,scp1,pep12"
SPBC354.05c	sre2	O43019	"fft3,dsc2,clp1,dsc3,cbf11,rbd2,dsc4"
SPBC1652.01	stb3	Q9P7B0	
SPBC32C12.02	ste11	P36631	"spk1,mip1,zfs1,red1,mat1-Mi,csx1,mtl1,sty1,pir2,pat1,rad24"
SPAC13G7.10	teb1	Q10274	ams2
SPAC1486.10	thi1	P36598	"spa2,sfp47,cbf11,tfs1"
SPBP8B7.30c	thi5	O94278	cbf11
SPAC1399.05c	toe1	Q9HE16	"grh1,atg11,cdc10,mss51,crm1,ats1,toe1,cdc23,dpe2,sec24,spo7,sly1,mex67,spa2,fft3,cbf11"
SPAC139.03	toe2	Q9UTN0	"cbf11,rpn12,rio2,trm402,SPBC17A3.05c,ats1,lsh1,fmt1,cbh2"
SPAPB24D3.01	toe3	Q9C0Z1	cbf11
SPAC11D3.07c	toe4	Q10086	
SPBC1198.04c	zas1	Q9UTS5	"dss1,klf1,cbf11,zas1"
SPAC25G10.03	zip1	Q10424	"ubi4,pof1"
SPAC11D3.11c		G2TRN9	
SPAC11D3.17		Q10096	zfs1
SPAC1327.01c		Q1MTM9	"cbf11,cap1"
SPAC1F7.11c		Q09922	"SPAC1F7.11c,cbf11"
SPAC25B8.11		Q9UTA7	cbf11
SPAC2H10.01		O94392	"apm1,zfs1"
SPAC3C7.04		O14130	"utp21,tfs1,mrpl4,sec67"
SPAC3F10.12c		Q10186	"pre9,gfh1,SPAC24H6.08,rng3,saf4,sec67,sld5,SPBC1685.04,atg11,enp1,ncb2,ypp1,SPBC354.04,pcr1,pef1,sec2,num1,apm1,rik1,rcl1,tfs1,noc1,atp11,mug123,rps2601,grh1,dma1,rmn1,spa2,sir2,nuc2,zfs1,dcp1,byr1,SPBC530.11c,knk1,rmi1,mss51,spo7,gyp1,rrn11,cdc23,isu1,cbh1"
SPAC3H8.08c		Q10144	"fft3,cbf11"
SPBC1348.12		G2TRT1	
SPBC16G5.17		O60131	"rps502,tfs1,php5,atp11,SPBC16G5.17,rps5,php2,ckb1,noc201,rrn11"
SPBC1773.12		O94569	"SPBC1773.16c,hos2"
SPBC1773.16c		O94573	"tfs1,wwm3,SPBC1773.16c,apm1,gyp1,SPBC1773.12,rga3,sap14,isu1,ppr5,utp4,tim10,SPBC660.17c,pcf11,met10,SPCC550.08,sec67,swd3,ppr10,num1"
SPBC530.11c		O59746	"SPAC3F10.12c,drp1,zfs1,dss1"
SPBC56F2.05c		O60056	zfs1
SPCC18.03		O74853	
SPCC320.03		O59780	cbf11
SPCC417.09c		O94490	
SPCC757.04		O74915	
SPCC777.02		O74541	lkh1
SPCC965.10		O59830	"pir2,cbf11"
